                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6195,                 3.2787,                 3.4818,                0.35123,                0.35734,                0.17694,                0.12487,                 1.1957,                 2.4528,                 2.3197,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1377,                 1.9506,                  1.841,                0.39704,                0.48938,                0.27171,                0.22285,                0.73294,                 1.6939,                 1.6089,              0.0065968,              0.0065968,              0.0065968
                      3,                0.85454,                  1.634,                  1.499,                0.45366,                0.53739,                0.31255,                0.26975,                0.58399,                 1.3814,                 1.3943,              0.0097982,              0.0097982,              0.0097982
                      4,                0.71523,                 1.4367,                   1.35,                0.47938,                0.62802,                0.34153,                 0.3032,                 0.4851,                 1.1537,                 1.2748,               0.009703,               0.009703,               0.009703
                      5,                0.63607,                 1.3347,                 1.2781,                0.28114,                0.59978,                 0.3325,                0.29892,                0.46608,                 1.1062,                 1.2623,               0.009604,               0.009604,               0.009604
                      6,                0.58517,                 1.2679,                 1.2297,                0.27832,                0.66667,                0.35516,                0.31979,                 0.4323,                 1.0068,                 1.2166,               0.009505,               0.009505,               0.009505
                      7,                0.54917,                 1.2227,                 1.1981,                0.51156,                0.67258,                0.36147,                 0.3285,                0.39688,                0.96225,                 1.1793,               0.009406,               0.009406,               0.009406
                      8,                 0.5226,                 1.1939,                 1.1729,                0.31652,                0.65481,                0.36612,                0.33843,                0.37208,                 0.9321,                 1.1523,               0.009307,               0.009307,               0.009307
                      9,                0.49816,                 1.1639,                 1.1515,                0.52533,                0.66934,                 0.3636,                0.33824,                0.37014,                0.91185,                 1.1587,               0.009208,               0.009208,               0.009208
                     10,                0.48934,                 1.1562,                 1.1411,                0.52012,                0.67612,                0.36484,                0.33721,                0.35981,                0.90659,                 1.1418,               0.009109,               0.009109,               0.009109
                     11,                0.47457,                 1.1359,                 1.1286,                0.52167,                0.69766,                0.36867,                0.34277,                0.34267,                 0.8817,                 1.1244,                0.00901,                0.00901,                0.00901
                     12,                0.46202,                 1.1196,                 1.1207,                0.53261,                0.70073,                0.37075,                0.34539,                0.34153,                0.85183,                 1.1272,               0.008911,               0.008911,               0.008911
                     13,                 0.4556,                 1.1098,                 1.1124,                0.32397,                0.70849,                0.37014,                0.34409,                0.33626,                0.84839,                  1.117,               0.008812,               0.008812,               0.008812
                     14,                0.44436,                 1.1021,                  1.104,                 0.3294,                0.70042,                0.37559,                0.35067,                0.32721,                0.84366,                 1.1151,               0.008713,               0.008713,               0.008713
                     15,                0.43814,                 1.0867,                 1.0978,                0.51837,                0.72261,                0.37409,                0.34966,                0.31743,                0.82809,                  1.104,               0.008614,               0.008614,               0.008614
                     16,                0.42715,                 1.0787,                 1.0887,                0.33787,                0.70466,                 0.3722,                0.34838,                0.31411,                0.83488,                 1.0984,               0.008515,               0.008515,               0.008515
                     17,                0.42684,                  1.073,                 1.0894,                0.32366,                0.71737,                0.37362,                0.35214,                0.31041,                0.82416,                 1.0969,               0.008416,               0.008416,               0.008416
                     18,                0.41815,                 1.0635,                 1.0806,                0.33162,                0.71423,                0.37647,                0.35288,                0.30577,                0.80961,                 1.0932,               0.008317,               0.008317,               0.008317
                     19,                0.41361,                 1.0571,                 1.0736,                0.53315,                0.70857,                0.37609,                0.35509,                0.29743,                0.80101,                  1.082,               0.008218,               0.008218,               0.008218
                     20,                0.40854,                 1.0523,                 1.0702,                 0.3279,                0.73477,                0.37677,                0.35567,                0.29657,                0.80229,                 1.0764,               0.008119,               0.008119,               0.008119
                     21,                  0.406,                   1.04,                 1.0687,                0.33115,                0.71935,                0.37776,                0.35487,                0.29917,                0.80139,                 1.0826,                0.00802,                0.00802,                0.00802
                     22,                0.39679,                  1.033,                 1.0597,                0.33724,                0.73195,                0.37665,                0.35534,                0.29429,                0.79634,                 1.0782,               0.007921,               0.007921,               0.007921
                     23,                0.39316,                 1.0337,                 1.0572,                0.33588,                0.72827,                0.37822,                0.35715,                 0.2887,                0.78703,                 1.0752,               0.007822,               0.007822,               0.007822
                     24,                0.39349,                 1.0286,                 1.0577,                0.33663,                0.72502,                0.38059,                0.35877,                0.28836,                0.78546,                 1.0733,               0.007723,               0.007723,               0.007723
                     25,                0.38768,                  1.021,                 1.0512,                0.33712,                0.73137,                0.37869,                0.35883,                0.28646,                0.77897,                 1.0726,               0.007624,               0.007624,               0.007624
                     26,                0.38116,                 1.0165,                 1.0448,                0.34295,                0.73039,                0.38027,                0.35983,                0.28223,                0.77124,                 1.0658,               0.007525,               0.007525,               0.007525
                     27,                0.38211,                 1.0161,                 1.0476,                0.54145,                0.73056,                0.38108,                0.36028,                0.28292,                0.77252,                 1.0666,               0.007426,               0.007426,               0.007426
                     28,                0.37808,                 1.0129,                 1.0424,                0.34413,                0.73094,                0.37934,                0.35943,                0.27686,                0.76735,                 1.0605,               0.007327,               0.007327,               0.007327
                     29,                0.37407,                 1.0044,                  1.038,                 0.3442,                0.73475,                0.38066,                0.36027,                0.27548,                0.76601,                 1.0606,               0.007228,               0.007228,               0.007228
                     30,                 0.3733,                 1.0043,                 1.0373,                0.34268,                0.73446,                0.38194,                0.36184,                0.27715,                0.76692,                 1.0595,               0.007129,               0.007129,               0.007129
                     31,                0.37417,                0.99887,                 1.0386,                0.34348,                0.74059,                0.38244,                0.36278,                0.27343,                0.75866,                 1.0584,                0.00703,                0.00703,                0.00703
                     32,                0.36963,                 1.0016,                 1.0345,                0.34445,                0.73223,                0.38362,                0.36449,                0.27099,                0.75672,                 1.0547,               0.006931,               0.006931,               0.006931
                     33,                0.36547,                0.99081,                 1.0296,                0.34798,                0.73219,                0.38289,                0.36378,                0.27054,                0.74983,                 1.0536,               0.006832,               0.006832,               0.006832
                     34,                0.36201,                0.99146,                  1.025,                0.34509,                0.73465,                0.38553,                0.36543,                0.26668,                0.75046,                 1.0511,               0.006733,               0.006733,               0.006733
                     35,                0.35939,                 0.9878,                 1.0248,                  0.348,                0.73583,                0.38714,                0.36712,                 0.2664,                 0.7468,                 1.0498,               0.006634,               0.006634,               0.006634
